idx,id,0,1,2
0,4,-0.16187533725707695,-5.036212172654444,-5.036212172654444
1,24,4.351858123775913,4.4765461577488,5.318290236304919
2,33,4.75994026957443,4.907751836699687,4.809112127088136
3,50,4.958053275213428,4.340981989487904,4.912596812663803
4,61,4.65458041160273,4.770681499186817,5.604720025101367
5,62,5.580331376362998,4.591643725475861,5.465073083085911
6,74,4.664547116034348,4.779933407683812,5.093384208134321
7,75,4.931156811475769,5.297159521980427,5.039479555880358
8,92,5.427827600318505,4.9714206358268145,4.918222684540904
9,110,5.3847679737173655,5.403708566156973,5.509227396070531
10,114,5.455295834888566,4.969933681489507,5.369917029302153
11,117,7.199291023839893,6.885822186998134,6.836714298945909
12,122,5.077261044793097,4.921347021035148,4.87083593624116
13,128,5.20420818976433,5.243007522915648,5.560981697552714
14,133,8.334016824207914,7.044681627654029,6.74063952319819
15,142,5.227278781010976,4.972358795246432,5.159754224400674
16,143,4.991140626494858,4.766714294545644,4.653110780442125
17,144,0.7718321159651069,4.149363237544864,4.1396757386318415
18,145,6.436110624036539,6.441338286445001,6.544232052608116
19,154,5.082400436399377,5.56170766011642,5.165824877293001
20,172,6.257892789970378,5.7457082743099654,5.533243544370541
21,176,4.914236183721517,4.9991694867917245,4.9648258713756555
22,181,6.50262182599581,6.358330674556434,6.14698306378633
23,192,6.117313396973177,6.147176520823749,6.122502254306495
24,200,5.74540749303124,5.920082035032775,5.975825160865311
25,201,4.773506037128784,4.9980449289121545,5.411419850857369
26,210,5.30190443527146,5.33379235613212,5.582870718075618
27,214,5.493422636774941,5.157070657750509,5.248306833423288
28,216,5.219064266257874,5.233872703158466,5.488410676255558
29,220,4.932985838831643,5.0031566782099715,5.009873935587699
30,230,5.683583087995468,5.753401030682391,5.769236379079169
31,231,4.736392358529708,4.439043278330303,4.133386239802368
32,233,6.089067139120501,5.450510222517466,6.110503179445425
33,236,5.151906792868171,5.650075157153294,5.246014037778468
34,237,4.9472362347603775,4.705686795292559,4.300464828110357
35,239,4.937889140331011,6.073404518774309,5.400474783289611
36,241,5.6162069770273275,5.849297216731102,5.6938159086409765
37,243,5.199435919293984,5.240030031005714,5.475694427541146
38,248,6.415799058330951,5.140154052509696,5.3373885703668735
39,249,5.670301342712827,5.408423314234435,5.42864689465558
40,252,5.092759582104533,4.945378614813321,4.762919271669811
41,257,6.3641097231594745,6.048252195343841,5.9368041803068605
42,260,5.627479843934048,5.664492766952968,6.359896924024961
43,263,6.1498952845664725,5.509289103683448,5.580994616792063
44,265,4.675852641821126,5.48777901757943,5.199531392146532
45,269,4.858026932742251,3.621749317732127,4.386556035408243
46,273,5.899060478808082,6.6793896443047736,6.2200570685229035
47,274,6.273304593193913,5.437557782050543,4.913910975191219
48,275,4.892419533822487,4.581354612039257,4.748531216670685
49,277,4.87401944521588,5.34234173658054,5.995352109052663
50,278,5.40443702806327,4.9644272798293985,4.560283806872549
51,281,5.493153310574384,5.347340555369733,4.485096501355642
52,282,4.917238444002825,4.985897475255455,5.83991991041572
53,283,4.512123292502206,4.680188789577823,5.772892516716091
54,286,-7.0,-6.0,-7.0
55,289,5.360955805453161,5.086948932310938,4.909255984305537
56,292,4.83968841869001,4.996506768801702,5.265791297427281
57,297,7.490493358126157,7.736357135084367,8.145532333665724
58,300,5.456466698818594,5.534300310726027,5.783477147094754
59,302,4.912678702674285,5.116450665669286,4.934333438494989
60,307,5.523097400928552,4.862365167250649,5.410970135340527
61,309,4.916424731392918,4.639599430990443,4.4203152549281945
62,310,4.872168048090043,4.931617777563415,4.983117147195828
63,311,4.552204477861594,4.195989544829364,4.399925573845521
64,313,5.18934486947585,5.771857893799116,7.0387822471146615
65,314,5.612912748904482,6.171488623282419,6.2374610434158715
66,320,4.657714161179759,5.185310922859425,6.053696009077966
67,323,6.163483099013616,5.560000532559782,6.065627884015898
68,325,5.835757390641497,5.935605701468523,6.377725769222225
69,326,4.819168305823715,5.641418580719045,4.834865706942431
70,335,4.977071262440414,4.683422243502663,4.758365957504305
71,336,5.449347551157879,5.255492009610192,5.371479230707804
72,337,4.6828112658772705,4.780691666721215,5.3444673352940395
73,338,5.552801646886316,5.603241292867341,5.655108936374655
74,343,5.444641774672363,5.777846268596211,6.4857613059412
75,344,4.5937644137354035,5.677211528284588,5.452161792207848
76,345,6.386318254319954,6.178753415066574,6.195669719759611
77,346,4.911679141584984,5.1338874813693645,5.7716077621804445
78,347,4.3340812241186,4.484381564454406,5.502451019180399
79,351,6.137375319111137,5.96050245656781,5.83650374731899
80,353,5.091254621725364,6.113474395237068,5.884213914919779
81,355,5.423904682179435,5.32534199294766,4.987695931766471
82,356,5.444480902237288,5.25055368587556,4.658427547217693
83,359,6.3694628153676085,6.173956821471924,5.615573008755242
84,360,4.331923262993432,4.594403932498953,4.719246574722299
85,362,5.819960395293166,5.954576883945462,6.027298631252378
86,365,6.632491204299231,5.253117166668993,3.511193287013045
87,369,5.047069941108547,4.493918173258921,4.545985125674154
88,370,6.463470129591124,5.798521580738811,5.669892334574631
89,371,6.3839131609574995,6.039821649121128,5.521022823398925
90,373,5.248790785746699,5.469146641651313,5.309607813458157
91,375,6.568064136563394,4.94110571947226,5.24874008793434
92,377,5.023742051274632,5.241436149808253,5.39246110425104
93,378,4.600885592633068,5.936266466046897,5.050358872498422
94,380,4.954391591620468,5.1754935482581645,5.390006207178134
95,381,5.329285782338285,5.901619476320087,6.470414313456241
96,385,4.819349051525463,4.455711060738384,4.213865319092795
97,386,4.799708785314552,5.618117159740493,5.216554613245828
98,388,5.278198034544511,5.070526219428485,3.929964567605994
99,389,4.822464920210772,5.394431016322958,5.319415683154675
100,390,5.437938821954203,5.324941629589121,5.11790073206452
101,397,4.598795648254255,6.557707340275617,7.016145887822192
102,398,5.960055740049536,5.467527897969963,5.166953497686814
103,399,5.961557815975168,5.635455094497703,5.495207594116524
104,401,5.880634637518192,5.756621885058809,5.68255191268538
105,412,5.747758561166926,7.154696272848288,6.526554949272882
106,413,6.667442492337746,5.295749355449002,5.3142366351655665
107,414,5.2573811853018135,6.3381434098486835,5.536696536359293
108,415,7.481904483628098,5.494474907243488,4.619219320388404
109,418,5.25171558366662,5.007719620471256,4.738603476059719
110,426,6.8238299310603345,7.5031928786464075,8.171048308097234
111,427,4.386116046909896,5.031664117740605,5.2560224628309165
112,428,6.680700656836117,4.694824396518606,3.2576178365783135
113,429,5.182160906971181,4.632424187357617,4.174406116183611
114,430,5.574559858689384,5.502061366538596,5.459197765579128
115,433,4.800336010149795,4.280269383321686,4.292357321072583
116,436,5.345109348087996,5.477704699184057,5.391545514887643
117,437,4.88683176620851,4.77065587235791,4.433935202250571
118,439,5.931347554017489,5.37987272202903,5.503399096967819
119,441,5.270229638899719,4.48074648303401,4.266533903766663
120,444,5.678856305273366,6.235423142979811,6.021193435188165
121,450,5.25103197495175,4.603909183430654,4.4951687116157215
122,453,4.979813058884738,6.084656338014572,5.355459374521199
123,455,4.308869059766741,6.723301958773518,4.7236343609950175
124,458,5.763289521404083,5.450775486760071,3.252667142279564
125,459,7.370966391835445,4.680377943454034,5.307766157798739
126,461,6.293563410895644,5.318513890489606,5.208886978323059
127,462,5.61981881042675,5.573350107519014,5.1485101106109985
128,463,5.792768101673245,5.452438002077857,4.9476737919400335
129,464,5.900483471215861,5.5518000982414515,5.8254089793514545
130,468,5.045373839126108,5.191104334846156,5.258937402419187
131,471,3.25614504247035,3.5381681527007305,4.833661774233294
132,472,6.449663339940363,6.049473095757914,5.084451154505263
133,474,7.259129953743548,6.120384708681213,6.985173009288728
134,475,5.620622150994865,7.30345677190517,5.733969557983499
135,477,5.116966519556629,5.326603115614169,5.915643457259258
136,478,7.1030500623202855,5.1943727915418485,6.882563070631306
137,483,4.457983573294915,4.545778645255719,4.482377290131537
138,486,6.929612016094036,6.732865597603643,6.074811688238478
139,487,5.391230362272184,5.521964157632088,5.9304207341507915
140,489,6.378744834497513,5.813675108862277,5.66308126060827
141,492,7.507944205222973,5.716189716193782,6.279899767483476
142,493,5.377093059259793,6.988620574167881,6.415421108531099
143,494,2.319865878258644,2.689507399105368,3.886445883362347
144,495,5.153059296994934,6.129056675335411,5.916010531322581
145,497,8.458087948571674,7.333705557551401,7.192746932064515
146,498,4.859762379758247,5.9005521696963985,6.324411077979486
147,500,4.297439211269115,5.530917292304322,4.552379807225788
148,501,6.344815553593928,6.373764113479972,6.933789872508228
149,503,5.855459307339506,5.474371154249084,4.314578374772012
150,504,6.055803242688126,6.02489760049903,5.613581166982637
151,505,7.399034786914684,6.7974930106552724,6.160360769499816
152,506,6.163212675965404,5.539612485106864,6.030997811378928
153,507,4.5652982301732585,6.113569363997805,6.209202317202924
154,509,5.570727942610275,5.841690259320211,6.361927754281826
155,510,5.132559044551829,6.732501917849803,6.028679812743572
156,512,7.7194523587011465,8.835438417303946,8.257127319009484
157,515,5.479163132274066,5.564015911167307,5.557694112821313
158,520,7.062187367847945,5.975508779810387,5.116111408522516
159,525,8.538201860787135,7.465471634771972,8.423287990265106
160,526,7.256670370185939,7.1560558228366915,7.245237939029464
161,528,6.020995684663587,6.144524081841309,6.355096199704641
162,529,5.52472629407288,5.464979156713436,5.391874355921501
163,531,5.3754031420380315,5.18107718235461,5.239969302734544
164,533,4.824480872621595,3.8062226548911045,0.8703125884836949
165,535,6.012737705053234,4.6712467313112125,6.0267681204142765
166,536,6.283768748318147,6.627187697860743,7.4957112244108925
167,541,5.5752316186812925,5.335931254305707,5.353202586808437
168,542,8.05265739656473,7.9079543730065405,5.766338326494803
169,543,7.696048516018409,7.585015942195206,7.523637489434539
170,545,6.197993869417651,6.5383890942752405,7.35022068018715
171,546,8.23921361299789,7.117520860383056,6.646662755126681
172,550,7.554751595658461,7.931140119425285,8.656361383323176
173,554,4.530946708069302,6.214769958737758,8.341321929774127
174,557,8.273756172178178,6.909102992896342,6.011098256479498
175,558,8.057324466554284,7.586339258451271,6.900247530980175
176,560,9.180255226316037,5.862564860829555,9.203848192142345
177,561,5.527858071049514,6.965188432021055,6.315238141681848
178,562,5.008971292352787,2.8843767220517713,1.6184575009347402
179,564,5.454116158117217,5.605192740095424,5.6979054609454955
180,565,6.610807776835484,6.004319223804639,5.942965373376285
181,566,5.395792943409288,9.6560937919361,6.692263621739979
182,567,6.129330838732551,6.66003468832912,7.515578608505252
183,569,5.595061379039341,5.341120215134375,5.50942754419973
184,571,7.538081858140298,8.450313323713111,8.753555177364529
185,572,7.608377642108785,6.540540312999862,6.2436914802746255
186,573,6.963489855781577,6.953337220679233,6.959138548877519
187,574,6.477975250825826,6.220735791458501,5.729363255808104
188,575,5.8124951636280136,9.177328392720499,6.278966810056885
189,577,7.183830504664513,7.3127572982264,7.480776916994476
190,580,7.333415834871926,6.9510301977481195,6.591297949773363
191,581,5.784097325676016,5.517474997558789,5.617051005855069
192,584,6.193705496146843,7.12940918540797,6.224890295717578
193,585,6.715489904617057,5.967760765815809,5.107404679925164
194,586,6.594053933923377,6.3554781478646625,6.231059059535552
195,587,7.041589652255401,6.943395428082927,6.382160101922249
196,588,6.237569875450161,5.9635668001903674,6.220784902801804
197,589,7.602243116411917,7.424983504290932,6.868329681241539
198,593,5.473423317536602,5.095568230759665,5.4067860407231665
199,594,6.069195442824912,5.9071685610006694,6.034067481656141
200,597,5.817579978002136,6.922521390235617,6.437017349671581
201,600,6.034903863566024,5.287900889977839,5.422965540625555
202,601,6.811988728917863,6.7204208767030265,6.611940400979572
203,603,6.4549388707783555,6.282688939698854,5.936366238264676
